,ID,accession,ssciname,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
275,OTU_634,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
329,OTU_888,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
349,OTU_965,OR397961.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
124,OTU_260,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
178,OTU_374,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
200,OTU_439,OR397962.1,,98.925,93,1,0,2,94,2264,2356,2.43E-37,167
210,OTU_455,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
214,OTU_467,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
221,OTU_497,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
265,OTU_616,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
268,OTU_626,OR397962.1,,100,91,0,0,1,91,2263,2353,6.65E-38,169
274,OTU_634,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
328,OTU_888,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
348,OTU_965,OR397962.1,,97.872,94,2,0,1,94,2263,2356,3.14E-36,163
102,OTU_21,OR459772.1,,100,92,0,0,1,92,2269,2360,1.82E-38,171
101,OTU_21,OR459773.1,,100,92,0,0,1,92,2269,2360,1.82E-38,171
100,OTU_21,OR459774.1,,100,92,0,0,1,92,2269,2360,1.82E-38,171
224,OTU_5,OR506257.1,,100,102,0,0,1,102,2319,2420,5.88E-44,189
7,OTU_104,OR591248.1,,100,92,0,0,1,92,335,426,1.82E-38,171
2,OTU_1,OR643891.1,,100,94,0,0,1,94,2824,2917,1.45E-39,174
232,OTU_513,OR643891.1,,97.872,94,1,1,1,93,2824,2917,1.11E-35,161
252,OTU_575,OR643891.1,,98.889,90,1,0,2,91,2825,2914,1.13E-35,161
332,OTU_896,OR643891.1,,98.889,90,1,0,2,91,2825,2914,1.13E-35,161
1,OTU_1,OR643892.1,,100,94,0,0,1,94,2828,2921,1.45E-39,174
231,OTU_513,OR643892.1,,97.872,94,1,1,1,93,2828,2921,1.11E-35,161
251,OTU_575,OR643892.1,,98.889,90,1,0,2,91,2829,2918,1.13E-35,161
331,OTU_896,OR643892.1,,98.889,90,1,0,2,91,2829,2918,1.13E-35,161
3,OTU_1,OR652292.1,,100,94,0,0,1,94,2830,2923,1.45E-39,174
253,OTU_575,OR652292.1,,98.889,90,1,0,2,91,2831,2920,1.13E-35,161
333,OTU_896,OR652292.1,,98.889,90,1,0,2,91,2831,2920,1.13E-35,161
160,OTU_307,OU744361.1,,93.617,94,5,1,3,96,23932634,23932726,5.48E-29,139
161,OTU_307,OU744361.1,,93.617,94,5,1,3,96,26354710,26354618,5.48E-29,139
159,OTU_307,OU744366.1,,93.617,94,5,1,3,96,7353145,7353053,5.48E-29,139
170,OTU_343,OX421408.1,,100,82,0,0,1,82,28949525,28949444,5.56E-33,152
171,OTU_343,OX421408.1,,98.78,82,1,0,1,82,29067582,29067663,2.59E-31,147
82,OTU_185,OX459945.2,,94.565,92,2,2,1,90,37021955,37022045,4.95E-29,139
81,OTU_185,OX596093.1,,94.565,92,2,2,1,90,34703336,34703426,4.95E-29,139
172,OTU_343,OY757318.1,,98.78,82,1,0,1,82,19900974,19900893,2.59E-31,147
346,OTU_95,XM_011722773.2,,100,89,0,0,1,89,1455,1543,8.31E-37,165
234,OTU_52,XM_011996668.1,,91.304,92,7,1,3,93,1142,1233,1.46E-24,124
307,OTU_73,XM_011996668.1,,98.936,94,1,0,1,94,1140,1233,6.76E-38,169
347,OTU_95,XM_012058929.1,,100,89,0,0,1,89,3220,3308,8.31E-37,165
309,OTU_73,XM_012089318.1,,97.872,94,2,0,1,94,1140,1233,3.14E-36,163
182,OTU_392,XM_023046776.1,,92.683,82,6,0,1,82,295,376,6.21E-23,119
256,OTU_579,XM_023047653.1,,96.104,77,3,0,4,80,1335,1259,3.23E-25,126
255,OTU_579,XM_023047654.1,,96.104,77,3,0,4,80,1359,1283,3.23E-25,126
254,OTU_579,XM_023047655.1,,96.104,77,3,0,4,80,1307,1231,3.23E-25,126
123,OTU_26,XM_023225755.2,,92.308,91,7,0,1,91,1285,1375,3.03E-26,130
257,OTU_58,XM_028836112.1,,100,91,0,0,1,91,1132,1222,6.42E-38,169
345,OTU_95,XM_031656858.1,,100,89,0,0,1,89,648,736,8.31E-37,165
308,OTU_73,XM_031666222.1,,97.872,94,2,0,1,94,3405,3498,3.14E-36,163
83,OTU_185,XR_005718911.1,,96.471,85,1,1,1,83,87,3,4.95E-29,139
52,OTU_15,XR_006698753.1,,98.936,94,1,0,1,94,1150,1243,6.76E-38,169
317,OTU_79,XR_006698753.1,,95.745,94,4,0,1,94,1150,1243,6.81E-33,152
